BTC-USD, Bitcoin USD
ETH-USD, BinanceCoin USD
USDT-USD, Tether USD
SOL1-USD, Solana USD
ADA-USD, Cardano USD
XRP-USD, XRP USD
DOT1-USD, Polkadot USD
HEX-USD, HEX USD
DOGE-USD, Dogecoin USD
USDC-USD, USDCoin USD
SHIB-USD, SHIBA INU USD
